MaxT,MinT,WindSpeed,Humidity ,Precipitation
29.2,18.8,1.5,69.8,0.0
29.3,19.5,1.7,64.9,0.0
29.1,19.5,2.0,62.9,0.0
29.0,18.6,1.7,64.9,0.0
29.4,19.5,2.2,67.4,0.0
29.1,18.8,1.7,65.0,0.0
29.1,18.9,1.5,67.1,0.0
29.2,19.2,1.9,67.1,0.0
29.4,20.0,1.8,65.2,0.0
29.8,20.1,2.0,62.3,0.0
29.9,19.7,1.8,67.8,0.0
30.6,19.5,1.6,67.2,0.0
30.1,19.8,1.8,58.6,0.0
29.5,20.4,2.3,60.9,0.0
30.1,20.4,1.4,67.6,0.0
31.2,20.8,1.2,57.0,0.0
30.6,21.0,1.3,64.9,0.0
31.3,20.6,1.2,67.4,0.0
30.9,21.0,1.7,63.8,0.0
30.4,23.0,1.7,66.2,0.0
30.2,21.4,2.0,62.6,0.0
30.2,19.8,1.6,61.4,0.0
30.1,19.2,2.2,68.2,0.0
30.8,19.8,2.5,68.0,0.0
30.3,20.2,2.4,64.8,0.0
30.2,20.0,2.3,66.6,0.0
31.5,19.5,1.6,63.4,0.0
31.0,19.4,1.3,63.1,0.0
30.7,20.3,1.9,67.0,0.0
30.8,21.0,1.8,59.6,0.0
31.7,21.1,1.4,62.5,0.0
32.0,20.8,1.3,56.4,0.0
32.1,20.6,1.4,64.1,0.0
31.9,21.2,1.6,61.7,0.0
31.6,21.7,2.0,65.0,0.0
30.9,21.6,2.4,68.6,0.0
30.6,22.9,2.7,67.8,0.0
30.5,20.6,2.5,69.5,0.0
31.0,21.6,2.4,70.6,0.0
30.7,22.5,3.0,65.5,2.8
31.7,21.3,2.0,61.4,0.0
31.5,20.6,1.8,59.3,0.0
30.9,22.4,1.8,58.3,3.5
31.7,23.0,1.9,61.1,0.0
30.5,22.3,2.5,66.5,0.0
30.9,21.7,3.2,62.7,0.0
31.0,21.2,2.4,58.2,0.0
31.0,19.6,2.3,53.9,0.0
32.0,18.9,2.3,54.7,0.0
31.4,19.3,2.2,54.7,0.0
31.6,19.9,2.7,53.6,0.0
33.0,19.5,1.9,64.9,0.0
32.2,20.1,1.6,67.6,0.0
32.2,21.1,2.3,67.8,0.0
32.0,22.0,2.4,58.0,0.0
33.0,22.0,2.5,56.9,0.0
32.9,23.0,2.5,55.5,0.0
33.3,24.4,2.3,57.7,0.0
31.4,24.7,2.3,56.5,0.0
33.2,24.5,2.2,53.1,0.0
32.4,23.5,2.1,56.2,0.0
32.3,24.2,2.6,52.5,0.0
32.8,24.4,2.5,60.9,0.0
32.8,24.4,2.4,62.7,0.0
32.5,24.3,2.6,61.6,0.0
32.3,23.9,2.5,59.3,0.0
33.1,24.0,3.2,65.1,0.0
32.3,23.3,3.1,66.2,0.0
32.7,21.6,2.6,65.4,0.0
34.3,22.1,2.8,58.2,0.0
34.3,23.6,2.0,52.9,0.0
33.8,22.9,1.9,52.4,0.0
34.3,22.8,2.2,59.5,0.0
35.6,23.5,1.5,58.2,0.0
35.5,24.0,2.1,57.2,0.0
35.2,24.1,2.0,62.9,0.0
34.6,25.4,2.1,63.2,0.0
35.1,25.2,1.9,53.8,0.0
35.0,25.6,1.8,54.2,0.0
35.8,25.8,2.5,44.2,0.0
35.4,25.4,2.5,51.0,0.0
35.4,25.2,1.9,49.4,0.0
34.4,24.8,2.1,52.0,0.0
34.6,24.8,2.2,49.2,0.0
33.9,24.1,1.9,50.2,0.0
34.6,25.2,2.5,58.3,0.0
35.4,24.4,2.0,51.2,0.0
35.7,25.4,2.2,49.8,0.0
35.2,26.5,2.0,54.9,0.0
35.3,26.5,2.4,47.8,0.0
35.8,25.7,2.3,46.9,0.0
34.8,25.7,2.2,48.7,0.0
34.5,25.5,2.6,58.0,2.1
35.1,26.0,2.6,56.5,0.0
35.3,26.1,2.6,54.7,0.0
35.1,26.4,2.1,54.3,0.0
36.0,26.3,1.9,53.3,0.0
35.3,25.8,2.0,53.6,0.0
35.7,26.6,2.3,52.6,0.0
35.0,24.1,2.4,59.9,0.0
35.4,25.8,2.5,58.5,0.0
34.7,25.9,2.6,57.9,0.0
34.6,26.6,2.0,59.9,0.0
34.7,25.3,2.5,60.0,0.0
34.8,26.2,1.9,66.9,0.0
35.2,25.8,2.0,57.7,0.0
35.6,27.3,2.9,67.7,3.8
37.6,27.3,2.5,49.3,0.0
38.2,27.9,2.7,48.1,0.0
37.9,27.9,2.5,40.4,0.0
37.8,27.5,2.2,48.9,0.0
37.0,27.7,2.5,52.8,0.0
37.3,27.4,2.4,51.7,0.0
37.6,28.3,2.0,57.9,0.0
37.1,28.5,2.6,52.9,0.0
37.2,27.5,2.2,50.9,0.0
36.7,27.5,2.4,56.8,0.0
36.6,27.9,2.3,57.4,2.2
35.4,26.0,2.5,61.9,2.2
36.0,26.8,2.3,61.1,4.3
36.3,26.9,2.2,60.2,0.0
36.9,28.0,2.2,57.0,0.0
38.0,28.5,3.2,52.4,0.0
37.3,28.4,3.2,47.5,0.0
41.1,29.2,3.2,49.1,0.0
39.5,29.5,3.7,49.2,0.0
38.8,29.7,3.3,56.2,0.0
38.0,30.0,3.4,43.8,0.0
37.7,29.5,3.4,46.6,0.0
41.9,29.3,4.5,48.7,0.0
42.2,30.1,4.2,46.0,0.0
42.4,30.6,3.8,46.4,0.0
41.3,30.7,3.6,45.5,0.0
40.1,30.5,4.0,44.9,2.6
42.3,31.0,3.3,51.5,0.0
42.6,31.3,3.8,51.2,0.0
43.2,30.5,4.0,52.2,0.0
42.4,30.3,3.7,55.5,0.0
41.0,27.8,3.8,50.5,11.1
37.3,27.0,2.9,50.5,3.9
38.8,28.8,3.3,51.4,2.3
39.8,30.0,3.3,53.4,2.9
38.6,29.2,3.2,49.9,2.9
39.4,28.8,3.8,45.9,0.0
37.6,28.8,3.3,51.5,0.0
38.2,29.0,2.6,52.2,0.0
38.3,29.6,2.3,51.5,0.0
37.8,28.7,2.6,48.5,0.0
38.5,29.6,3.1,56.8,0.0
38.6,30.5,2.8,54.8,4.2
40.4,29.2,3.6,48.3,0.0
